train_number,train_name,source_station_code,destination_station_code
04601,Jammu Tawi Udhampur Special,JAT,UHP
04602,Udhampur Jammutawi Dmu,UHP,JAT
04603,Jat Udahmpur Dmu,JAT,UHP
04604,Udhampur Jammutawi Dmu,UHP,JAT
04728,Mumbai Bandrat-Bikaner Sf Special,BDTS,BKN
04741,Sirsa - Hisar Passenger Special,SSA,HSR
04742,Hisar - Sirsa Passenger Special,HSR,SSA
04853,Rewari Degana Merta Special,DNA,MTD
04854,Degana Merta Special,MTD,DNA
09022,Jammu Tawi - Bandra Terminus Ac Suvidha Special (Starts 5 April),JAT,BDTS
11017,Chalukya Express,DR,YPR
11019,Konark Express,CSTM,BBS
11020,Konark Express,BBS,CSTM
11023,Sahyadri Express,CSTM,KOP
11024,Sahyadri Express,KOP,CSTM
11025,Manmad Pune Express(Via Nasik),MMR,PUNE
11026,Pune Manmad Express,PUNE,MMR
11027,Mumbai Cst-Chennai Mail,CSTM,MAS
11029,Koyna Express,CSTM,KOP
11030,Koyna Express,KOP,CSTM
11033,Pune - Darbhanga Gyan Ganga Exp,PUNE,DBG
11035,Dadar-Mysore Sharavati Express,DR,MYS
11036,Mysore-Dadar Sharavati Express,MYS,DR
11037,Pune - Gorakhpur Exp,PUNE,GKP
11038,Gorakhpur - Pune Exp,GKP,PUNE
11039,Maharashtra Express,KOP,G
11039-Slip,Kolhapur-Gorakhpur Express Slip,KOP,GKP
11040,Maharashtra Express,G,KOP
11040-Slip,Gondia-Solapur Maharashtra Express Slip,G,SUR
11041,Mumbai - Chennai Express,CSTM,MAS
11043,Mumbai Ltt - Madurai Exp,LTT,MDU
11044,Madurai - Mumbai Ltt Exp,MDU,LTT
11045,Kolhapur Csmt - Dhanbad Deekshabhoomi Exp,KOP,DHN
11047,Hubli Express,MRJ,UBL
11048,Hubli Miraj Express,UBL,MRJ
11049,Ahmedabad-Kolhapur Express,ADI,KOP
11050,Kolhapur-Ahmedabad Express,KOP,ADI
11051,Solapur-Kolhapur Express,SUR,KOP
11052,Kolhapur Solapur Express,KOP,SUR
11056,Gorakhpur - Mumbai Ltt Exp,GKP,LTT
11057,Dadar Amritsar Express,DR,ASR
11057-Slip,Dadar Amritsar Express Slip,DR,DHI
11058,Amritsar Dadar Express,ASR,DR
11059,Mumbai Ltt - Chhapra Godan Exp,LTT,CPR
11060,Chhapra - Mumbai Ltt Godan Exp,CPR,LTT
11062,Darbhanga - Mumbai Ltt Pawan Exp,DBG,LTT
56305,Kottayam Kollam Passenger,KTYM,QLN
58651,Ranchi Lohardaga Passenger,RNC,LAD
04858,Jodhpur Pipar Road Passenger Special,JU,PPR
05305,Farrukhabad-Kanpuranwarganj Passenger,FBD,CPA
05306,Kanpuranwarganj-Farrukhabad Special,CPA,FBD
05650,Kamakhya - Mumbai Ltt (Weekly) Special,KYQ,LTT
05697,Hill Queen Express,LMG,LFG
05698,Hill Queen Express,LFG,LMG
06002,Kollam-Chennai Central Sf Special,QLN,MAS
06003,Chennai Central-Kollam Special,MAS,QLN
06004,Kollam-Chennai Central Special,QLN,MAS
06005,Chennai Central-Kollam Sf Special,MAS,QLN
06006,Kollam-Chennai Central Sf Special,QLN,MAS
06007,Chennai Central-Kollam Sf Special,MAS,QLN
06008,Kollamchennai Central Sf Special,QLN,MAS
06009,Chennai Centralkollam Sf Special,MAS,QLN
06011,Chennai Central Kollam (Weekly) Sf Special,MAS,QLN
06201,Mysore-Sainagar Shirdi Special,MYS,SNSI
06202,Sainagar Shirdi - Mysore Special,SNSI,MYS
06215,Mysore Nanjangud Town Passenger,MYS,NTW
06216,Nanjangud Town Mysore Passenger,NTW,MYS
06228,Shimoga Mysore Express,SMET,MYS
06301,Nagercoil-Mangalore Special,NCJ,MAJN
06302,Mangalore-Nagercoil Special,MAJN,NCJ
06501,Yesvantpur - Ahmedabad Garib Rath Special,YPR,ADI
06502,Ahmedabad -Yesvantpur Garib Rath Special,ADI,YPR
06535,Bijapur Express,YPR,BJP
06536,Bijapur-Yesvantpur Special,BJP,YPR
06591,Yesvantpur-Hosur Passenger Special,YPR,HSRA
06592,Hosur-Yesvantpur Passenger,HSRA,YPR
06594,Hosur-Yesvantpur Passenger Special,HSRA,YPR
06595,Yesvantpur-Devanhalli Special,YPR,DHL
06596,Devanahalli-Yesvantpur Special,DHL,YPR
06617,Coimbatore-Nagercoil Special,CBE,NCJ
06618,Nagercoil-Coimbatore Special,NCJ,CBE
06621,Coimbatore-Yesvantpur Sf Special,CBE,YPR
06622,Yesvantpur-Coimbatore Sf Special,YPR,CBE
06837,Karaikkudi Manamadurai Passenger,KKDI,MNM
06838,Manamadurai Karaikkudi Passenger,MNM,KKDI
06839,Tiruchirappalli Karaikkudi Passenger Special,TPJ,KKDI
06840,Karaikkudi-Tiruchirappalli Passenger Special,KKDI,TPJ
06948,Hubli Jn - Vasco Da Gama Link Express,UBL,VSG
07003,Hyderabad-Korba Special,HYB,KRBA
07004,Korba-Hyderabad Special,KRBA,HYB
07105,Ajmer - Hyderabad Special,AII,HYB
40005,Chennai Beach Tambaram Emu,MSB,TBM
55138,Shahganj Ballia Passenger,SHG,BUI
56393,Kottayam Kollam Passenger,KTYM,QLN
24041,Delhi Sarai Rohilla - Kotdwar Mussoorie Exp,NBD,KTW
07144,Shahu Maharaj T. Kolhapur - Hyderabad Special,KOP,HYB
07301,Mysore Shimoga Express,MYS,SMET
07403,Adilabad-Nanded Special,ADB,NED
07404,Nanded-Adilabad Special,NED,ADB
07603,Kacheguda Kamareddi Special,KCG,KMC
07605,Kamareddi-Nizamabad Passenger Special,KMC,NZB
07606,Nizamabad-Kamareddi Special,NZB,KMC
07607,Secunderabad - Mancherial Special,SC,MCI
07608,Mancherial - Secunderabad Special,MCI,SC
08001,Kharagpur-Jhargram Express Special,KGP,JGM
08002,Jhargram-Kharagpur Special,JGM,KGP
08004,Mysore - Howrah Special,MYS,HWH
08017,Kharagpur- Jhargram Memu Special,KGP,JGM
08018,Jhargram - Kharagpur Memu Special,JGM,KGP
08043,Kolkata Shalimar-Haridwar Puja Special,SHM,HW
08051,Kharagpur- Jhargram Memu Special,KGP,JGM
08052,Jhargram - Kharagpur Memu Special,JGM,KGP
08055,Shalimar-Tirupati Special,SHM,TPTY
08113,Tatanagar Bilaspur Passenger,TATA,BSP
08114,Bilaspur Tatanagar Passenger,BSP,TATA
08469,Puri-Bangalore Weekly Garib Rath Special,PURI,SBC
08470,Bangalore-Puri Garib Rath Special,SBC,PURI
08471,Bhubaneswar - Tirupati Weekly Special,BBS,TPTY
08472,Tirupati - Bhubaneswar Weekly Special,TPTY,BBS
08565,Visakhapatnam-Secunderabad Special,VSKP,SC
08566,Secunderabad Vishakaptnam Special,SC,VSKP
08567,Visakhapatnam Sainagar Shirdi Special,VSKP,SNSI
08568,Shirdi-Visakhapatnam Weekly Special,SNSI,VSKP
08569,Visakhapatnam-Kollam Sabarimalai Special,VSKP,QLN
08786,Dalli Rajhara Durg Pass,DRZ,DURG
08787,Raipur-Durg Special,R,DURG
08788,Durg-Raipur Special,DURG,R
09002,Ahmedabad Mumbai Central Superfast Special,ADI,BCT
09021,Bandra Terminus - Jammu Tawi Ac Suvidha Special (Starts 4 April),BDTS,JAT
09051,Valsad-Varanasi Weekly Special,BL,BSB
09221,Porbandar Secunderabad Weekly Special,PBR,SC
09561,Bandra Terminus Okha Weekly Special,BDTS,OKHA
09733,Hanumangarh Kota Special,HMH,KOTA
09734,Kota Hanumangarh Special,KOTA,HMH
11015,Kushinagar Express,LTT,GKP
12084,Coimbatore-Mayiladuturai Jan Shatabdi,CBE,MV
13401,Intercity Express,BGP,DNR
13410,Intercity Express,BGP,MLDT
40007,Chennai Beach Tambaram Emu(12 Car),MSB,TBM
56320,Coimbatore Nagercoil Passenger,CBE,NCJ
08785,Durg Dalli Rajhara Pass,DURG,DRZ
01494,Bijapur Hubli Special,BJP,UBL
09222,Secunderabad-Porbandar Weekly Special,SC,PBR
09405,Ahmedabad Yesvantpur (Weekly) Special,ADI,YPR
09406,Yeshwantpur-Ahmedabad Special,YPR,ADI
09562,Okha - Bandra Terminus Weekly Special,OKHA,BDTS
09621,Ajmer Jaipur Sf Special,AII,JP
09622,Jaipur Ajmer Sf Special,JP,AII
09715,Jaipur Solapur (Weekly) Special,JP,SUR
09716,Solapur - Jaipur Special,SUR,JP
09721,Jaipur Delhi Sarai Rohilla Sf Special,JP,DEE
09724,Jaipur - Sabarmati Sf Holiday Spl,JP,SBI
09727,Indore-Jaipur Special,INDB,JP
09728,Jaipur-Indore Special,JP,INDB
09735,Secunderabad-Jaipur Special,SC,JP
09736,Jaipur - Secunderabad (Weekly) Special,JP,SC
09741,Rewari - Delhi Sarai Rohilla (Daily) Special,RE,DEE
09742,Delhi Sarai Rohilla - Rewari (Daily) Special,DEE,RE
09761,Surathgarh Anupgarh Passenger,APH,SOG
09762,Suratgarh - Anupgarh Passenger Special,SOG,APH
09763,Surathgarh Anupgarh Passenger,APH,SOG
09764,Suratgarh - Anupgarh Passenger Special,SOG,APH
09765,Phulera Rewari Passenger Special,FL,RE
09766,Rewari-Phulera Passenger Special,RE,FL
10001,Satpura Express,BTC,JBP
10002,Satpura Express,JBP,BTC
10103,Mumbai Cst - Madgaon Mandovi Exp,CSTM,MAO
10104,Madgaon - Mumbai Cst Mandovi Exp,MAO,CSTM
10111,Mumbai Cst - Madgaon Konkan Knaya Exp,CSTM,MAO
10112,Madgaon - Mumbai Cst Konkan Knaya Exp,MAO,CSTM
10215,Madgaon Ernakulam Weekly Super Fast Express,MAO,ERS
10216,Ernakulam Madgaon Weekly Sf Express,ERS,MAO
11003,Dadar - Sawantwadi Rd Rajya Rani Exp,DR,SWV
11004,Sawantwadi Rd - Dadar Rajya Rani Exp,SWV,DR
11007,Deccan Express,CSTM,PUNE
11009,Sinhagad Express,CSTM,PUNE
11010,Sinhagad Express,PUNE,CSTM
11011,Mahalaxmi Express,CSTM,KOP
11012,Mahalaxmi Express,KOP,CSTM
11014,Coimbatore Mumbai Ltt Express,CBE,LTT
11016,Kushinagar Express,GKP,LTT
11018,Chalukya Express,YPR,DR
15212,Amritsar - Darbhanga Jan Nayak Exp,ASR,DBG
40013,Chennai Beach Tambaram Emu(12 Car),MSB,TBM
56304,Nagercoil Kottayam Passenger,NCJ,KTYM
56386,Kottayam Ernakulam Passenger,KTYM,ERS
56390,Kottayam Ernakulam Passenger,KTYM,ERS
02082,Loharu - Jaipur Passenger Spl (Mg),LHU,JP
02083,Jaipur-Loharu Mg Passenger Special,JP,LHU
02084,Loharu - Jaipur Passenger Spl (Mg),LHU,JP
02085,Jaipur - Churu Passenger Spl (Mg),JP,CUR
02086,Churu - Jaipur Passenger Spl (Mg),CUR,JP
02087,Jaipur - Churu Passenger Spl (Mg),JP,CUR
02088,Churu - Jaipur Passenger Spl (Mg),CUR,JP
02089,Sikar - Churu Passenger Spl (Mg),SIKR,CUR
02090,Sikar - Churu Passenger Spl (Mg),CUR,SIKR
02093,Jaipur Loharu Passenger,JP,LHU
02411,Ratangarh-Sardarshahar Passenger,RTGH,SRDR
02412,Sardarshahr-Ratangarh Passenger Special,SRDR,RTGH
02413,Sadulpur-Shri Ganganagar Passenger Special,SDLP,SGNR
02423,Dibrugarh Guwahati Rajdhani Express,DBRT,GHY
02424,Guwahati Dibrugarh Rajdhani Express,GHY,DBRT
02435,Dibrugarh Guwahati Rajdhani Express,DBRT,GHY
02436,Guwahati Dibrugarh Rajdhani Express,GHY,DBRT
02451,Kalka Shimla Holiday Special,KLK,SML
02452,Shimla Kalka Holiday Special,SML,KLK
02453,Kalka Shimla Holiday Special,KLK,SML
02454,Shimla Kalka Holiday Special,SML,KLK
02779,Vasco Da Gama Bangalore Link Express,VSG,SBC
03283,Rajendra Nagar-Tatanagar Special,RJPB,TATA
03284,Tatanagar-Rajendra Nagar Special,TATA,RJPB
03686,Delhi Gaya S,DLI,GAYA
04011,Sainagar Shirdi - H. Nizamuddin (Weekly) Special,SNSI,NZM
04031,Delhi-Panipat Special,DLI,PNP
04032,Panipat Delhi Special,PNP,DLI
04053,Anand Vihar T.-Jammu Tawi Special,ANVT,JAT
04054,Jammu Tawi-Anand Vihar Special,JAT,ANVT
04115,Allahabad - Mumbai Ltt (Weekly) Special,ALD,LTT
02081,Jaipur Luharu Special,JP,LHU
04116,Mumbai Ltt-Allahabad Special,LTT,ALD
04201,Lucknow -New Delhi Special,LKO,NDLS
04202,New Delhi-Lucknow Tri-Weekly Special,NDLS,LKO
04203,Varanasi-Old Delhi Special,BSB,DLI
11067-Slip,Saket Express Slip,LTT,RBL
11108,Varanasi-Gwalior Bundelkhand Express,BSB,GWL
11109,Jhansi-Lucknow Intercity Express,JHS,LKO
11110,Lucknow-Jhansi Intercity,LKO,JHS
11123,Barauni-Gwalior Mail,BJU,GWL
11124,Gwalior Barauni Mail,GWL,BJU
11125,Indore Gwalior Express,INDB,GWL
11126,Gwalior Indore Express,GWL,INDB
11454,Prerna Express,NGP,ADI
52071,Bari Sadri - Mavli Passenger,BI,MVJ
11063-Slip,Chennai Salem Express Slip,MS,MTDM
11065,Mumbai Ltt - Darbhanga Pawan Exp,LTT,DBG
11066,Darbhanga - Mumbai Ltt Pawan Exp,DBG,LTT
11067,Mumbai Ltt - Faizabad Saket Exp,LTT,FD
11068,Faizabad - Mumbai Ltt Saket Exp,FD,LTT
11069,Tulsi Express,LTT,ALD
11070,Tulsi Express,ALD,LTT
11071,Kamayani Express,LTT,BSB
11072,Kamayani Express,BSB,LTT
11077,Jhelum Express,PUNE,JAT
11078,Jhelum Express,JAT,PUNE
11087,Veraval Pune Express,VRL,PUNE
11088,Pune Veraval Express,PUNE,VRL
11089,Bhagat Ki Kothi - Pune Exp,BGKT,PUNE
11090,Pune - Bhagat Ki Kothi Exp,PUNE,BGKT
11091,Bhuj - Pune Ahimsa Exp,BHUJ,PUNE
11092,Pune - Bhuj Ahimsa Exp,PUNE,BHUJ
11093,Mumbai Cst - Varanasi Mahanagari Exp,CSTM,BSB
11094,Varanasi - Mumbai Cst Mahanagari Exp,BSB,CSTM
11095,Ahimsa Express,ADI,PUNE
11096,Ahimsa Express,PUNE,ADI
11105,Pratham Swatantrata Sangram Express,KOAA,JHS
11106,Pratham Swatantrata Sangram Express,JHS,KOAA
11266,Ambikapur - Jabalpur Exp,ABKP,JBP
11401,Nandigram Express,CSTM,NGP
11402,Nandigram Express,NGP,CSTM
11403,Nagpur - Kolhapur Exp,NGP,KOP
11404,Kolhapur - Nagpur Exp,KOP,NGP
11423,Solapur - Hubli Express,SUR,UBL
11424,Hubli Jn - Solapur Express,UBL,SUR
11447,Jabalpur - Kol Howrah Shaktipunj Exp,JBP,HWH
11448,Howrah - Jabalpur Shaktipunj Exp,HWH,JBP
11449,Jabalpur - Shri Mata Vaishno Devi Katra Express,JBP,SVDK
11450,Shri Mata Vaishno Devi Katra - Jabalpur Express,SVDK,JBP
11451,Jabalpur - Rewa Intercity Exp,JBP,REWA
11452,Rewa - Jabalpur Intercity Exp,REWA,JBP
11453,Prerna Express,ADI,NGP
11463,Somnath-Jabalpur Express,SMNH,JBP
11464,Jabalpur-Somnath Express,JBP,SMNH
11471,Indore-Jabalpur Overnight Express,INDB,JBP
11472,Jabalpur-Indore Express,JBP,INDB
12003,Lucknow-Newdelhi Swarn Shatabdi Express,LKO,NDLS
12020,Ranchi-Howrah Shatabdi Express,RNC,HWH
12021,Barbil Janshatabdi,HWH,BBN
12022,Barbil Howrah Janshatabdi,BBN,HWH
12189,Jabalpur - Delhi H Nizamuddin Mahakoshal Sf Exp,JBP,NZM
53030,Bhagalpur Azimganj Passenger,BGP,AZ
56385,Ernakulam Kottayam Passenger,ERS,KTYM
11465,Somnath - Jabalpur Exp (Via Bina),SMNH,JBP
11466,Jabalpur - Somnath Exp (Via Bina),JBP,SMNH
11702,Indore - Jabalpur Intercity Exp,INDB,JBP
12002,New Delhi-Bhopal Shatabdi Express,NDLS,BPL
12004,Newdelh-Lucknowi Swarn Shatabdi Express,NDLS,LKO
12005,New Delhi-Kalka Shatabdi,NDLS,KLK
12006,Kalka-New Delhi Shatabdi,KLK,NDLS
12008,Mysore - Chennai Cent Shatabdi Express,MYS,MAS
12009,Mumbai-Ahmedabad Shatabdi Express,BCT,ADI
12010,Ahmedabad-Mumbai Central Shatabdi,ADI,BCT
