train_number,class_type,amount
04601,SL,400.0
04601,3A,640.0
04601,2A,800.0
04601,1A,1200.0
04602,SL,400.0
04602,3A,640.0
04602,2A,800.0
04602,1A,1200.0
04603,SL,400.0
04603,3A,640.0
04603,2A,800.0
04603,1A,1200.0
04604,SL,400.0
04604,3A,640.0
04604,2A,800.0
04604,1A,1200.0
04728,SL,400.0
04728,3A,640.0
04728,2A,800.0
04728,1A,1200.0
04741,SL,400.0
04741,3A,640.0
04741,2A,800.0
04741,1A,1200.0
04742,SL,400.0
04742,3A,640.0
04742,2A,800.0
04742,1A,1200.0
04853,SL,400.0
04853,3A,640.0
04853,2A,800.0
04853,1A,1200.0
04854,SL,400.0
04854,3A,640.0
04854,2A,800.0
04854,1A,1200.0
09022,SL,400.0
09022,3A,640.0
09022,2A,800.0
09022,1A,1200.0
11017,SL,400.0
11017,3A,640.0
11017,2A,800.0
11017,1A,1200.0
11019,SL,400.0
11019,3A,640.0
11019,2A,800.0
11019,1A,1200.0
11020,SL,400.0
11020,3A,640.0
11020,2A,800.0
11020,1A,1200.0
11023,SL,400.0
11023,3A,640.0
11023,2A,800.0
11023,1A,1200.0
11024,SL,400.0
11024,3A,640.0
11024,2A,800.0
11024,1A,1200.0
11025,SL,400.0
11025,3A,640.0
11025,2A,800.0
11025,1A,1200.0
11026,SL,400.0
11026,3A,640.0
11026,2A,800.0
11026,1A,1200.0
11027,SL,400.0
11027,3A,640.0
11027,2A,800.0
11027,1A,1200.0
11029,SL,400.0
11029,3A,640.0
11029,2A,800.0
11029,1A,1200.0
11030,SL,400.0
11030,3A,640.0
11030,2A,800.0
11030,1A,1200.0
11033,SL,400.0
11033,3A,640.0
11033,2A,800.0
11033,1A,1200.0
11035,SL,400.0
11035,3A,640.0
11035,2A,800.0
11035,1A,1200.0
11036,SL,400.0
11036,3A,640.0
11036,2A,800.0
11036,1A,1200.0
11037,SL,400.0
11037,3A,640.0
11037,2A,800.0
11037,1A,1200.0
11038,SL,400.0
11038,3A,640.0
11038,2A,800.0
11038,1A,1200.0
11039,SL,400.0
11039,3A,640.0
11039,2A,800.0
11039,1A,1200.0
11039-Slip,SL,400.0
11039-Slip,3A,640.0
11039-Slip,2A,800.0
11039-Slip,1A,1200.0
11040,SL,400.0
11040,3A,640.0
11040,2A,800.0
11040,1A,1200.0
11040-Slip,SL,400.0
11040-Slip,3A,640.0
11040-Slip,2A,800.0
11040-Slip,1A,1200.0
11041,SL,400.0
11041,3A,640.0
11041,2A,800.0
11041,1A,1200.0
11043,SL,400.0
11043,3A,640.0
11043,2A,800.0
11043,1A,1200.0
11044,SL,400.0
11044,3A,640.0
11044,2A,800.0
11044,1A,1200.0
11045,SL,400.0
11045,3A,640.0
11045,2A,800.0
11045,1A,1200.0
11047,SL,400.0
11047,3A,640.0
11047,2A,800.0
11047,1A,1200.0
11048,SL,400.0
11048,3A,640.0
11048,2A,800.0
11048,1A,1200.0
11049,SL,400.0
11049,3A,640.0
11049,2A,800.0
11049,1A,1200.0
11050,SL,400.0
11050,3A,640.0
11050,2A,800.0
11050,1A,1200.0
11051,SL,400.0
11051,3A,640.0
11051,2A,800.0
11051,1A,1200.0
11052,SL,400.0
11052,3A,640.0
11052,2A,800.0
11052,1A,1200.0
11056,SL,400.0
11056,3A,640.0
11056,2A,800.0
11056,1A,1200.0
11057,SL,400.0
11057,3A,640.0
11057,2A,800.0
11057,1A,1200.0
11057-Slip,SL,400.0
11057-Slip,3A,640.0
11057-Slip,2A,800.0
11057-Slip,1A,1200.0
11058,SL,400.0
11058,3A,640.0
11058,2A,800.0
11058,1A,1200.0
11059,SL,400.0
11059,3A,640.0
11059,2A,800.0
11059,1A,1200.0
11060,SL,400.0
11060,3A,640.0
11060,2A,800.0
11060,1A,1200.0
11062,SL,400.0
11062,3A,640.0
11062,2A,800.0
11062,1A,1200.0
56305,SL,400.0
56305,3A,640.0
56305,2A,800.0
56305,1A,1200.0
58651,SL,400.0
58651,3A,640.0
58651,2A,800.0
58651,1A,1200.0
04858,SL,400.0
04858,3A,640.0
04858,2A,800.0
04858,1A,1200.0
05305,SL,400.0
05305,3A,640.0
05305,2A,800.0
05305,1A,1200.0
05306,SL,400.0
05306,3A,640.0
05306,2A,800.0
05306,1A,1200.0
05650,SL,400.0
05650,3A,640.0
05650,2A,800.0
05650,1A,1200.0
05697,SL,400.0
05697,3A,640.0
05697,2A,800.0
05697,1A,1200.0
05698,SL,400.0
05698,3A,640.0
05698,2A,800.0
05698,1A,1200.0
06002,SL,400.0
06002,3A,640.0
06002,2A,800.0
06002,1A,1200.0
06003,SL,400.0
06003,3A,640.0
06003,2A,800.0
06003,1A,1200.0
06004,SL,400.0
06004,3A,640.0
06004,2A,800.0
06004,1A,1200.0
06005,SL,400.0
06005,3A,640.0
06005,2A,800.0
06005,1A,1200.0
06006,SL,400.0
06006,3A,640.0
06006,2A,800.0
06006,1A,1200.0
06007,SL,400.0
06007,3A,640.0
06007,2A,800.0
06007,1A,1200.0
06008,SL,400.0
06008,3A,640.0
06008,2A,800.0
06008,1A,1200.0
06009,SL,400.0
06009,3A,640.0
06009,2A,800.0
06009,1A,1200.0
06011,SL,400.0
06011,3A,640.0
06011,2A,800.0
06011,1A,1200.0
06201,SL,400.0
06201,3A,640.0
06201,2A,800.0
06201,1A,1200.0
06202,SL,400.0
06202,3A,640.0
06202,2A,800.0
06202,1A,1200.0
06215,SL,400.0
06215,3A,640.0
06215,2A,800.0
06215,1A,1200.0
06216,SL,400.0
06216,3A,640.0
06216,2A,800.0
06216,1A,1200.0
06228,SL,400.0
06228,3A,640.0
06228,2A,800.0
06228,1A,1200.0
06301,SL,400.0
06301,3A,640.0
06301,2A,800.0
06301,1A,1200.0
06302,SL,400.0
06302,3A,640.0
06302,2A,800.0
06302,1A,1200.0
06501,SL,400.0
06501,3A,640.0
06501,2A,800.0
06501,1A,1200.0
06502,SL,400.0
06502,3A,640.0
06502,2A,800.0
06502,1A,1200.0
06535,SL,400.0
06535,3A,640.0
06535,2A,800.0
06535,1A,1200.0
06536,SL,400.0
06536,3A,640.0
06536,2A,800.0
06536,1A,1200.0
06591,SL,400.0
06591,3A,640.0
06591,2A,800.0
06591,1A,1200.0
06592,SL,400.0
06592,3A,640.0
06592,2A,800.0
06592,1A,1200.0
06594,SL,400.0
06594,3A,640.0
06594,2A,800.0
06594,1A,1200.0
06595,SL,400.0
06595,3A,640.0
06595,2A,800.0
06595,1A,1200.0
06596,SL,400.0
06596,3A,640.0
06596,2A,800.0
06596,1A,1200.0
06617,SL,400.0
06617,3A,640.0
06617,2A,800.0
06617,1A,1200.0
06618,SL,400.0
06618,3A,640.0
06618,2A,800.0
06618,1A,1200.0
06621,SL,400.0
06621,3A,640.0
06621,2A,800.0
06621,1A,1200.0
06622,SL,400.0
06622,3A,640.0
06622,2A,800.0
06622,1A,1200.0
06837,SL,400.0
06837,3A,640.0
06837,2A,800.0
06837,1A,1200.0
06838,SL,400.0
06838,3A,640.0
06838,2A,800.0
06838,1A,1200.0
06839,SL,400.0
06839,3A,640.0
06839,2A,800.0
06839,1A,1200.0
06840,SL,400.0
06840,3A,640.0
06840,2A,800.0
06840,1A,1200.0
06948,SL,400.0
06948,3A,640.0
06948,2A,800.0
06948,1A,1200.0
07003,SL,400.0
07003,3A,640.0
07003,2A,800.0
07003,1A,1200.0
07004,SL,400.0
07004,3A,640.0
07004,2A,800.0
07004,1A,1200.0
07105,SL,400.0
07105,3A,640.0
07105,2A,800.0
